location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
Afghanistan,25/04/2020,70,1,38928341,2.581,1803.987,0.5
Afghanistan,26/04/2020,112,4,38928341,2.581,1803.987,0.5
Afghanistan,27/04/2020,68,10,38928341,2.581,1803.987,0.5
Afghanistan,28/04/2020,172,0,38928341,2.581,1803.987,0.5
Afghanistan,29/04/2020,124,3,38928341,2.581,1803.987,0.5
Afghanistan,30/04/2020,122,0,38928341,2.581,1803.987,0.5
Afghanistan,01/05/2020,222,4,38928341,2.581,1803.987,0.5
Afghanistan,02/05/2020,164,4,38928341,2.581,1803.987,0.5
Afghanistan,03/05/2020,134,4,38928341,2.581,1803.987,0.5
Afghanistan,04/05/2020,235,13,38928341,2.581,1803.987,0.5
Afghanistan,05/05/2020,190,5,38928341,2.581,1803.987,0.5
Afghanistan,06/05/2020,330,5,38928341,2.581,1803.987,0.5
Afghanistan,07/05/2020,168,9,38928341,2.581,1803.987,0.5
Afghanistan,08/05/2020,171,2,38928341,2.581,1803.987,0.5
Afghanistan,09/05/2020,215,3,38928341,2.581,1803.987,0.5
Afghanistan,10/05/2020,255,6,38928341,2.581,1803.987,0.5
Afghanistan,11/05/2020,369,5,38928341,2.581,1803.987,0.5
Afghanistan,12/05/2020,285,2,38928341,2.581,1803.987,0.5
Afghanistan,13/05/2020,280,5,38928341,2.581,1803.987,0.5
Afghanistan,14/05/2020,259,3,38928341,2.581,1803.987,0.5
Afghanistan,15/05/2020,113,6,38928341,2.581,1803.987,0.5
Afghanistan,16/05/2020,1063,32,38928341,2.581,1803.987,0.5
Afghanistan,17/05/2020,0,0,38928341,2.581,1803.987,0.5
Afghanistan,18/05/2020,262,1,38928341,2.581,1803.987,0.5
Afghanistan,19/05/2020,408,4,38928341,2.581,1803.987,0.5
Afghanistan,20/05/2020,581,5,38928341,2.581,1803.987,0.5
Afghanistan,21/05/2020,492,9,38928341,2.581,1803.987,0.5
Afghanistan,22/05/2020,531,6,38928341,2.581,1803.987,0.5
Afghanistan,23/05/2020,540,12,38928341,2.581,1803.987,0.5
Afghanistan,24/05/2020,782,11,38928341,2.581,1803.987,0.5
Afghanistan,25/05/2020,584,2,38928341,2.581,1803.987,0.5
Afghanistan,26/05/2020,591,1,38928341,2.581,1803.987,0.5
Afghanistan,27/05/2020,658,1,38928341,2.581,1803.987,0.5
Afghanistan,28/05/2020,625,7,38928341,2.581,1803.987,0.5
Afghanistan,29/05/2020,580,8,38928341,2.581,1803.987,0.5
Afghanistan,30/05/2020,623,11,38928341,2.581,1803.987,0.5
Afghanistan,31/05/2020,866,3,38928341,2.581,1803.987,0.5
Afghanistan,01/06/2020,680,8,38928341,2.581,1803.987,0.5
Afghanistan,02/06/2020,545,8,38928341,2.581,1803.987,0.5
Afghanistan,03/06/2020,759,5,38928341,2.581,1803.987,0.5
Afghanistan,04/06/2020,758,24,38928341,2.581,1803.987,0.5
Afghanistan,05/06/2020,787,6,38928341,2.581,1803.987,0.5
Afghanistan,06/06/2020,915,9,38928341,2.581,1803.987,0.5
Afghanistan,07/06/2020,582,18,38928341,2.581,1803.987,0.5
Afghanistan,08/06/2020,791,30,38928341,2.581,1803.987,0.5
Afghanistan,09/06/2020,575,12,38928341,2.581,1803.987,0.5
Afghanistan,10/06/2020,542,15,38928341,2.581,1803.987,0.5
Albania,09/03/2020,2,0,2877800,13.188,11803.431,2.89
Albania,10/03/2020,4,0,2877800,13.188,11803.431,2.89
Albania,11/03/2020,4,0,2877800,13.188,11803.431,2.89
Albania,12/03/2020,1,1,2877800,13.188,11803.431,2.89
Albania,13/03/2020,12,0,2877800,13.188,11803.431,2.89
Albania,14/03/2020,10,0,2877800,13.188,11803.431,2.89
Albania,15/03/2020,5,0,2877800,13.188,11803.431,2.89
Albania,16/03/2020,4,0,2877800,13.188,11803.431,2.89
Albania,17/03/2020,9,0,2877800,13.188,11803.431,2.89
Albania,18/03/2020,4,0,2877800,13.188,11803.431,2.89
Albania,19/03/2020,4,1,2877800,13.188,11803.431,2.89
Albania,20/03/2020,11,0,2877800,13.188,11803.431,2.89
Albania,21/03/2020,0,0,2877800,13.188,11803.431,2.89
Albania,22/03/2020,6,0,2877800,13.188,11803.431,2.89
Albania,23/03/2020,13,0,2877800,13.188,11803.431,2.89
Albania,24/03/2020,11,2,2877800,13.188,11803.431,2.89
Albania,25/03/2020,23,1,2877800,13.188,11803.431,2.89
Albania,26/03/2020,23,0,2877800,13.188,11803.431,2.89
Albania,27/03/2020,28,1,2877800,13.188,11803.431,2.89
Albania,28/03/2020,12,3,2877800,13.188,11803.431,2.89
Albania,29/03/2020,11,1,2877800,13.188,11803.431,2.89
Albania,30/03/2020,15,0,2877800,13.188,11803.431,2.89
Albania,31/03/2020,11,2,2877800,13.188,11803.431,2.89
Albania,01/04/2020,20,3,2877800,13.188,11803.431,2.89
Albania,02/04/2020,16,0,2877800,13.188,11803.431,2.89
Albania,03/04/2020,18,1,2877800,13.188,11803.431,2.89
Albania,04/04/2020,27,1,2877800,13.188,11803.431,2.89
Albania,05/04/2020,29,2,2877800,13.188,11803.431,2.89
Albania,06/04/2020,28,2,2877800,13.188,11803.431,2.89
Albania,07/04/2020,16,1,2877800,13.188,11803.431,2.89
Albania,08/04/2020,6,0,2877800,13.188,11803.431,2.89
Albania,09/04/2020,17,0,2877800,13.188,11803.431,2.89
Albania,10/04/2020,9,1,2877800,13.188,11803.431,2.89
Albania,11/04/2020,7,0,2877800,13.188,11803.431,2.89
Albania,12/04/2020,17,0,2877800,13.188,11803.431,2.89
Albania,13/04/2020,13,0,2877800,13.188,11803.431,2.89
Albania,14/04/2020,21,0,2877800,13.188,11803.431,2.89
Albania,15/04/2020,8,1,2877800,13.188,11803.431,2.89
Albania,16/04/2020,19,1,2877800,13.188,11803.431,2.89
Albania,17/04/2020,24,1,2877800,13.188,11803.431,2.89
Albania,18/04/2020,21,0,2877800,13.188,11803.431,2.89
Albania,19/04/2020,9,0,2877800,13.188,11803.431,2.89
Albania,20/04/2020,14,0,2877800,13.188,11803.431,2.89
Albania,21/04/2020,22,0,2877800,13.188,11803.431,2.89
Albania,22/04/2020,25,0,2877800,13.188,11803.431,2.89
Albania,23/04/2020,25,1,2877800,13.188,11803.431,2.89
Albania,24/04/2020,29,0,2877800,13.188,11803.431,2.89
Albania,25/04/2020,15,0,2877800,13.188,11803.431,2.89
Albania,26/04/2020,34,0,2877800,13.188,11803.431,2.89
Albania,27/04/2020,14,1,2877800,13.188,11803.431,2.89
Albania,28/04/2020,10,0,2877800,13.188,11803.431,2.89
Albania,29/04/2020,14,2,2877800,13.188,11803.431,2.89
Albania,30/04/2020,16,1,2877800,13.188,11803.431,2.89
Albania,01/05/2020,7,0,2877800,13.188,11803.431,2.89
Albania,02/05/2020,9,0,2877800,13.188,11803.431,2.89
Albania,03/05/2020,7,0,2877800,13.188,11803.431,2.89
Albania,04/05/2020,6,0,2877800,13.188,11803.431,2.89
Albania,05/05/2020,8,0,2877800,13.188,11803.431,2.89
Albania,06/05/2020,17,0,2877800,13.188,11803.431,2.89
Albania,07/05/2020,12,0,2877800,13.188,11803.431,2.89
Albania,08/05/2020,10,0,2877800,13.188,11803.431,2.89
Albania,09/05/2020,8,0,2877800,13.188,11803.431,2.89
Albania,10/05/2020,6,0,2877800,13.188,11803.431,2.89
Albania,11/05/2020,12,0,2877800,13.188,11803.431,2.89
Albania,12/05/2020,4,0,2877800,13.188,11803.431,2.89
Albania,13/05/2020,4,0,2877800,13.188,11803.431,2.89
Albania,14/05/2020,4,0,2877800,13.188,11803.431,2.89
Albania,15/05/2020,18,0,2877800,13.188,11803.431,2.89
Albania,16/05/2020,18,0,2877800,13.188,11803.431,2.89
Albania,17/05/2020,17,0,2877800,13.188,11803.431,2.89
Albania,18/05/2020,13,0,2877800,13.188,11803.431,2.89
Albania,19/05/2020,2,0,2877800,13.188,11803.431,2.89
Albania,20/05/2020,1,0,2877800,13.188,11803.431,2.89
Albania,21/05/2020,15,0,2877800,13.188,11803.431,2.89
Albania,22/05/2020,5,0,2877800,13.188,11803.431,2.89
Albania,23/05/2020,12,0,2877800,13.188,11803.431,2.89
Albania,24/05/2020,8,0,2877800,13.188,11803.431,2.89
Albania,25/05/2020,9,1,2877800,13.188,11803.431,2.89
Albania,26/05/2020,6,0,2877800,13.188,11803.431,2.89
